YEAR,Median Home Price,Median Household Income
1984,0,0
1985,1.88,1.74
1986,9.16,5.3
1987,19.62,6.34
1988,23.66,6.67
1989,25.84,8.05
1990,22.28,6.19
1991,14.57,2.53
1992,12.61,1.22
1993,13.84,0.22
1994,14.07,0.91
1995,14.25,3.64
1996,16.03,4.85
1997,18.29,6.87
1998,21.66,10.58
1999,25.67,13.23
2000,27.62,13.03
2001,28.64,10.52
2002,35.6,9.27
2003,37.81,9.13
2004,52.13,8.79
2005,60.4,9.95
2006,59,10.83
2007,55.47,12.3
2008,40.18,8.3
2009,31.35,7.55
2010,32.27,4.75
2011,31.34,3.15
2012,38.88,3
2013,50.1,6.62
2014,58.47,5.06
2015,61.41,10.53
2016,66.77,14.02
2017,71.41,15.61
2018,69.03,16.62
2019,63.53,24.56
2020,69.27,21.81
2021,90.57,21.09
