Baby Boomer,Gen X,Millennial,total_gen_adult_yr
47.5,37.6,34.1,1
45.2,39,34.3,2
46.4,42.9,35.4,3
48.1,45.5,37.4,4
49,48.1,40.6,5
50.9,50.9,43.2,6
53,53.8,47.9,7
55.2,57.3,48.7,8
56.5,58.2,51.5,9
57.7,59.1,NA,10
59.2,60.7,NA,11
61.7,60.4,NA,12
62.5,61,NA,13
64.8,61.4,NA,14
66,61,NA,15
67.6,61.3,NA,16
69.3,62.6,NA,17
71,61.9,NA,18
71.9,62.9,NA,19
73.5,64.6,NA,20
74.2,66.5,NA,21
75,66.9,NA,22
75.9,69,NA,23
76.8,69,NA,24
76.8,69.7,NA,25
76.9,NA,NA,26
76.7,NA,NA,27
76.8,NA,NA,28
76.7,NA,NA,29
76,NA,NA,30
75.4,NA,NA,31
75.8,NA,NA,32
75.7,NA,NA,33
75.5,NA,NA,34
75.9,NA,NA,35
76.3,NA,NA,36
76.9,NA,NA,37
77.2,NA,NA,38
78.7,NA,NA,39
78.5,NA,NA,40
77.8,NA,NA,41
